question,question_type,question_format,complexity_of_format,analytical_depth,interdisciplinary_integration,language_and_cues,Overall_difficulty,Focus_area,is_incomplete,theme,keywords,textbooks,focus,is_upsc_scope,year
"43. What is ""Terminal High Altitude Area
Defense (THAAD)"", sometimes seen in the
news?
(a) An Israeli radar system
(b) India's indigenous anti-missile
programme
(c) An American anti-missile system
(d) A defence collaboration between Japan
and South Korea",Fact-Based Questions,Single Correct Option Questions,Easy,Easy,Easy,Easy,Easy,"The question assesses factual recall in the context of military defense systems, focusing on the definition and identification of THAAD as an American anti-missile system.",,Military Technology and Strategy,"Terminal High Altitude Area Defense, THAAD, anti-missile system, American defence system, missile defence","Challenges to Internal Security, Security Issues in Contemporary World Politics",factual recall,TRUE,2018
"44. With reference to cultural history of India, consider the following statements:
1. Most of the Tyagaraja Kritis are devotional songs in praise of Lord Krishna.
2. Tyagaraja created several new ragas.
3. Annamacharya and Tyagaraja are contemporaries.
4. Annamacharya kirtanas are devotional songs in praise of Lord Venkateshwara.
Which of the statements given above are correct?
(a) 1 and 3 only
(b) 2 and 4 only
(c) 1, 2 and 3
(d) 2, 3 and 4",Reasoning/Logical Elimination Questions,Statement-based MCQs,Medium,Medium,Easy,Easy,Medium,"The question assesses analytical ability in the context of Indian cultural history, focusing on the contributions of Tyagaraja and Annamacharya to devotional music and their historical relationship.",FALSE,Carnatic Music and the Bhakti Movement,"Tyagaraja, Annamacharya, Carnatic Music, Devotional Songs, Ragas, Lord Venkateshwara","History of Indian Culture, The Cultural Heritage of India, Carnatic Music in Historical Perspective",Factual recall and conceptual understanding,TRUE,2018
"45. Which of the following are regarded as the main features of the â€œRule of Lawâ€ ?
1. Limitation of powers
2. Equality before law
3. People's responsibility to the Government
4. Liberty and civil rights
Select the correct answer using the code given below:
(a) 1 and 3 only
(b) 2 and 4 only
(c) 1, 2 and 4 only
(d) 1, 2, 3 and 4",Fact-Based Questions,Statement-based MCQs,Easy,Easy,Easy,Easy,Easy,"The question assesses factual recall in the context of Rule of Law, focusing on the main features associated with it.",FALSE,Fundamental Legal Concepts and Constitutional Governance,"Rule of Law, Limitation of Powers, Equality before Law, Civil Rights, Liberty","Indian Polity by M. Laxmikanth, Introduction to the Constitution of India (NCERT)",Conceptual understanding and factual recall regarding constitutional governance and legal principles.,TRUE,2018
"46. Which one of the following statements correctly describes the meaning of legal tender money?
(a) The money which is tendered in courts of law to defray the fee of legal cases
(b) The money which a creditor is under compulsion to accept in settlement of his claims
(c) The bank money in the form of cheques, drafts, bills of exchange, etc.
(d) The metallic money in circulation in a country",Fact-Based Questions,Single Correct Option Questions,Easy,Easy,Easy,Easy,Easy,"The question assesses factual recall in the context of legal tender money within economics, focusing on the definition of legal tender and its implications for creditors and payments.",FALSE,Legal Tender Money,"legal tender money, monetary circulation, compulsion acceptance, bank notes, metallic money","Indian Economy by Ramesh Singh, Economic Survey of India, NCERT Macroeconomics",factual recall,TRUE,2018
"47. If a commodity is provided free to the public by the Government, then
(a) the opportunity cost is zero.
(b) the opportunity cost is ignored.
(c) the opportunity cost is transferred from the consumers of the product to the tax-paying public.
(d) the opportunity cost is transferred from the consumers of the product to the Government.",Fact-Based Questions,Single Correct Option Questions,Easy,Easy,Easy,Easy,Easy,"The question assesses factual recall in the context of opportunity cost in economics, focusing on understanding the implications of free government services on resource allocation and societal costs.",FALSE,Opportunity Cost and Public Expenditure,"commodity, free distribution, opportunity cost, tax-paying public, government expenditure","Indian Economy by Ramesh Singh, Economic Survey of India",conceptual understanding,TRUE,2018
"48. Increase in absolute and per capita real GNP do not connote a higher level of economic development, if
(a) industrial output fails to keep pace with agricultural output.
(b) agricultural output fails to keep pace with industrial output.
(c) poverty and unemployment increase.
(d) imports grow faster than exports.",Conceptual/Analytical Questions,Single Correct Option Questions,Medium,Medium,Medium,Medium,Medium,"The question assesses analytical ability in the context of economic development, focusing on the limitations of GNP as an indicator of economic welfare and development.",FALSE,Indicators of Economic Development and their Limitations,"real GNP, per capita GNP, economic development, industrial output, agricultural output, poverty, unemployment, imports, exports","Indian Economy by Ramesh Singh, Economic Development by Todaro and Smith","This question assesses conceptual understanding of economic indicators and their limitations in measuring overall economic development, emphasizing that increases in GNP alone may not reflect improvements in welfare if other dimensions such as employment, poverty, and sectoral outputs are imbalanced.",TRUE,2018
"49. Consider the following statements:
Human capital formation as a concept is
better explained in terms of a process which
enables
1. individuals of a country to accumulate
more capital.
2. increasing the knowledge, skill levels
and capacities of the people of the
country.
3. accumulation of tangible wealth.
4. accumulation of intangible wealth.
Which of the statements given above is/are
correct?
(a) 1 and 2
(b) 2 only
(c) 2 and 4
(d) 1, 3 and 4",Reasoning/Logical Elimination Questions,Statement-based MCQs,Medium,Medium,Easy,Medium,Medium,"The question assesses analytical ability in the context of human capital formation, focusing on the correct components that define the concept.",,Conceptual understanding of human capital,"human capital, intangible wealth, skills, knowledge, economic development, capital accumulation","Indian Economy by Ramesh Singh, Economic Survey of India, Development Economics texts",conceptual understanding and application of economic development theories,TRUE,2018
"50. Despite being a high saving economy, capital
formation may not result in significant
increase in output due to
(a) weak administrative machinery
(b) illiteracy
(c) high population density
(d) high capital-output ratio",Reasoning/Logical Elimination Questions,Single Correct Option Questions,Medium,Medium,Medium,Medium,Medium,"The question assesses analytical ability in the context of economics, focusing on the factors influencing capital formation and output in the economy.",FALSE,Factors Affecting the Efficiency of Capital Formation,"capital formation, savings economy, capital-output ratio, administrative machinery, economic growth","Indian Economy by Ramesh Singh, Economic Survey of India, Development Economics by Debraj Ray","This question assesses analytical ability by requiring evaluation of why high savings and capital formation might not translate directly into output growth. It involves understanding conceptual linkages between capital accumulation and productivity, as well as discerning potential inefficiencies such as administrative deficits or high capital-output ratios.",TRUE,2018
"51. After the Santhal Uprising subsided, what
was/were the measure/measures taken by the
colonial government?
1. The territories called 'Santhal
Paraganas' were created.
2. It became illegal for a Santhal to
transfer land to a non-Santhal.
Select the correct answer using the code given
below:
(a) 1 only
(b) 2 only
(c) Both 1 and 2
(d) Neither 1 nor 2",Reasoning/Logical Elimination Questions,Statement-based MCQs,Medium,Medium,Easy,Easy,Medium,"The question assesses analytical ability in the context of land policies post-Santhal Uprising, focusing on the legal measures enacted to protect Santhal land rights.",,Santhal Uprising and Colonial Policies,"Santhal Uprising, Santhal Paraganas, colonial government measures, land transfer restrictions","Modern India by Bipin Chandra, India's Struggle for Independence by Bipan Chandra",factual recall and application of historical events,TRUE,2018
"52. Economically, one of the results of the British
rule in India in the 19th century was the
(a) increase in the export of Indian
handicrafts
(b) growth in the number of Indian owned
factories
(c) commercialization of Indian agriculture
(d) rapid increase in the urban population",Fact-Based Questions,Single Correct Option Questions,Easy,Easy,Easy,Easy,Easy,"The question assesses factual recall in the context of the economic impact of British colonialism in India, focusing on the commercialization of Indian agriculture.",FALSE,Economic Impact of Colonial Policies,"British rule, colonial economy, commercialization of agriculture, export handicrafts, Indian industry, urbanization","Modern India by Bipin Chandra, India’s Struggle for Independence by Bipan Chandra, India: A History by John Keay",factual recall,TRUE,2018
"53. If the President of India exercises his power
as provided under Article 356 of the
Constitution in respect of a particular State,
then
(a) the Assembly of the State is
automatically dissolved.
(b) the powers of the Legislature of that
State shall be exercisable by or under
the authority of the Parliament.
(c) Article 19 is suspended in that State.
(d) the President can make laws relating to
that State.",Fact-Based Questions,Single Correct Option Questions,Easy,Easy,Easy,Easy,Easy,"The question assesses factual recall in the context of Constitutional Law, focusing on the provisions of Article 356 and its implications on state governance.",FALSE,Presidential Power under Article 356,"President of India, Article 356, State Assembly, Parliament, Dissolution, President's Rule","Indian Polity by M. Laxmikanth, Introduction to the Constitution of India by D.D. Basu",factual recall and conceptual understanding of constitutional provisions related to President's rule and its implications on state governance,TRUE,2018
"54. Consider the following pairs :
Craft Heritage of
1. Puthukkuli shawls â€“ Tamil Nadu
2. Sujni embroidery â€“ Maharashtra
3. Uppada Jamdani saris â€“ Karnataka
Which of the pairs given above is/are correct?
(a) 1 only
(b) 1 and 2
(c) 3 only
(d) 2 and 3",Fact-Based Questions,Single Correct Option Questions,Easy,Easy,Easy,Easy,Easy,"The question assesses factual recall in the context of Indian craft heritage, focusing on the correct identification of the states associated with specific traditional crafts.",FALSE,Regional Mapping of Crafts,"Puthukkuli shawls, Tamil Nadu, Sujni embroidery, Maharashtra, Uppada Jamdani saris, Incorrect regional mapping","NCERT Art and Culture, Indian Heritage by M. L. Gupta",Factual Recall,TRUE,2018
"55. In which of the following areas can GPS technology be used?
1. Mobile phone operations
2. Banking operations
3. Controlling the power grids
Select the correct answer using the code given below:
(a) 1 only
(b) 2 and 3 only
(c) 1 and 3 only
(d) 1, 2 and 3",Fact-Based Questions,Single Correct Option Questions,Easy,Easy,Easy,Easy,Easy,"The question assesses factual recall in the context of GPS technology applications, focusing on the areas where GPS can be utilized.",FALSE,Applications of GPS Technology,"GPS, mobile phones, power grids, technology applications, UPS awareness","Science and Technology in India by Kalpana Rajaram, Bhargava's Science and Technology for Civil Services",factual recall and application of knowledge,TRUE,2018
"56. Consider the following statements:
1. The Reserve Bank of India manages and services Government of India Securities but not any State Government Securities.
2. Treasury bills are issued by the Government of India and there are no treasury bills issued by the State Governments.
3. Treasury bills offer are issued at a discount from the par value.
Which of the statements given above is/are correct?
(a) 1 and 2 only
(b) 3 only
(c) 2 and 3 only
(d) 1, 2 and 3",Fact-Based Questions,Statement-based MCQs,Medium,Medium,Easy,Easy,Medium,"The question assesses factual recall in the context of Government securities and treasury bills, focusing on the correctness of statements regarding their management and issuance.",,Role of the Reserve Bank of India and Treasury Bills,"Reserve Bank of India, Government Securities, Treasury Bills, monetary policy, state government securities","Indian Economy by Ramesh Singh, Modern Banking by J. Smiley, P. Ananthasuresh",factual recall and conceptual understanding,TRUE,2018
"57. Consider the following statements:
1. The Earth's magnetic field has reversed every few hundred thousand years.
2. When the Earth was created more than 4000 million years ago, there was 54% oxygen and no carbon dioxide.
3. When living organisms originated, they modified the early atmosphere of the Earth.
Which of the statements given above is/are correct?
(a) 1 only
(b) 2 and 3 only
(c) 1 and 3 only
(d) 1, 2 and 3",Reasoning/Logical Elimination Questions,Statement-based MCQs,Medium,Medium,Easy,Easy,Medium,"The question assesses analytical ability in the context of Earth's geological and atmospheric history, focusing on the validity of statements regarding the Earth's magnetic field and atmospheric composition over time.",FALSE,Geomagnetism and Evolution of the Earth’s Atmosphere,"Earth's magnetic field, magnetic reversals, atmospheric evolution, oxygen, carbon dioxide, origin of life, early Earth","NCERT Physical Science, NCERT Biology, Modern's World Geography",This question assesses conceptual understanding and factual recall regarding the Earth's magnetic field reversals and the evolution of the early atmosphere due to life processes.,TRUE,2018
"58. The terms 'WannaCry, Petya and EternalBlue' sometimes mentioned in the news recently are related to
(a) Exoplanets
(b) Cryptocurrency
(c) Cyber attacks
(d) Mini satellites",Fact-Based Questions,Single Correct Option Questions,Easy,Easy,Easy,Easy,Easy,"The question assesses factual recall in the context of cybersecurity, focusing on identifying types of cyber threats or malware.",FALSE,Cyber attacks and digital threats,"WannaCry, Petya, EternalBlue, cyber attacks, malware, exploits","NCERT Science and Technology textbooks, Cyber Security by Rajesh K",factual recall,TRUE,2018
"59. With reference to the circumstances in Indian agriculture, the concept of ""Conservation Agriculture"" assumes significance. Which of the following fall under the Conservation Agriculture?
1. Avoiding the monoculture practices
2. Adopting minimum tillage
3. Avoiding the cultivation of plantation crops
4. Using crop residues to cover soil surface
5. Adopting spatial and temporal crop sequencing/crop rotations
Select the correct answer using the code given below:
(a) 1, 3 and 4
(b) 2, 3, 4 and 5
(c) 2, 4 and 5
(d) 1, 2, 3 and 5",Fact-Based Questions,Statement-based MCQs,Medium,Medium,Easy,Easy,Medium,"The question assesses factual recall in the context of agricultural practices, focusing on the principles and techniques of Conservation Agriculture.",,Conservation Agriculture,"Indian Agriculture, Conservation Agriculture, Minimum Tillage, Crop Residues, Crop Rotations","Indian Agriculture by Ramesh Chand, Essentials of Agriculture for UPSC by M. L. Bhatia",Conceptual understanding and application of conservation agricultural practices in current Indian agriculture scenarios,TRUE,2018
"60. The term ""sixth mass extinction/sixth extinction"" is often mentioned in the news in the context of the discussion of
(a) Widespread monoculture practices in agriculture and large-scale commercial farming with indiscriminate use of chemicals in many parts of the world that may result in the loss of good native ecosystems.
(b) Fears of a possible collision of a meteorite with the Earth in the near future in the manner it happened 65 million years ago that caused the mass extinction of many species including those of dinosaurs.
(c) Large scale cultivation of genetically modified crops in many parts of the world and promoting their cultivation in other parts of the world which may cause the disappearance of good native crop plants and the loss of food biodiversity.
(d) Mankind's over-exploitation/misuse of natural resources, fragmentation/loss of natural habitats, destruction of ecosystems, pollution and global climate change.",Reasoning/Logical Elimination Questions,Statement-based MCQs,Medium,Medium,Medium,Medium,Medium,"The question assesses analytical ability in the context of environmental science, focusing on causes and implications of the sixth mass extinction.",FALSE,Anthropogenic Impacts on Biodiversity,"sixth mass extinction, biodiversity loss, human impact, ecosystems, anthropocene","Environment and Ecology by Majid Husain, Shankar IAS Study Material on Environment and Ecology","Conceptual understanding of human impacts on nature and biodiversity loss, requiring an awareness of current scientific discussions framed in the context of historical mass extinctions.",TRUE,2018
"61. With reference to the Indian Regional Navigation Satellite System (IRNSS), consider the following statements:
1. IRNSS has three satellites in geostationary and four satellites in geosynchronous orbits.
2. IRNSS covers entire India and about 5500 sq. km beyond its borders.
3. India will have its own satellite navigation system with full global coverage by the middle of 2019.
Which of the statements given above is/are correct ?
(a) 1 only
(b) 1 and 2 only
(c) 2 and 3 only
(d) None",Fact-Based Questions,Statement-based MCQs,Medium,Easy,Easy,Easy,Medium,"The question assesses factual recall in the context of IRNSS, focusing on the specifications, coverage, and anticipated developments of India's satellite navigation system.",FALSE,Satellite Navigation Systems,"IRNSS, Indian Regional Navigation Satellite System, geostationary orbit, geosynchronous orbit, satellite navigation, global coverage, space program","Science and Technology in India, Indian Space Programme",factual recall and conceptual understanding,TRUE,2018
"62. Consider the following phenomena :
1. Light is affected by gravity.
2. The Universe is constantly expanding.
3. Matter warps its surrounding space-time.
Which of the above is/are the prediction/predictions of Albert Einstein's General Theory of Relativity, often discussed in media ?
(a) 1 and 2 only
(b) 3 only
(c) 1 and 3 only
(d) 1, 2 and 3",Fact-Based Questions,Single Correct Option Questions,Easy,Easy,Easy,Easy,Easy,"The question assesses factual recall in the context of Albert Einstein's General Theory of Relativity, focusing on the predictions outlined in the theory.",,Predictions of Einstein's General Theory of Relativity,"gravity, light, space-time, universe expansion, cosmology","Concepts of Physics by H.C. Verma (for basic understanding), Gravitation and Cosmology by Steven Weinberg (for advanced insights), General Relativity by Robert Wald (for deeper exploration)",factual recall and conceptual understanding,TRUE,2018
"63. With reference to the Genetically Modified mustard (GM mustard) developed in India, consider the following statements:
1. GM mustard has the genes of a soil bacterium that give the plant the property of pest-resistance to a wide variety of pests.
2. GM mustard has the genes that allow the plant cross-pollination and hybridization.
3. GM mustard has been developed jointly by the IARI and Punjab Agricultural University.
Which of the statements given above is/are correct?
(a) 1 and 3 only
(b) 2 only
(c) 2 and 3 only
(d) 1, 2 and 3",Fact-Based Questions,Statement-based MCQs,Easy,Easy,Easy,Easy,Easy,"The question assesses factual recall in the context of GM mustard in India, focusing on its characteristics and development.",FALSE,Genetically Modified Crops,"GM mustard, genetically modified crops, pest resistance, soil bacterium gene, cross-pollination, hybridization, IARI, Punjab Agricultural University","Biotechnology for Beginners (Rehm), Biotechnology (M.L. Mathur & B.K. Bansal), NCERT Biology (Class XI & XII)","Factual recall and conceptual understanding of biotechnology applications in agriculture, including development partnerships and genetic modifications in crops.",TRUE,2018
"64. Consider the following pairs :
Terms sometimes seen in news                                  Context/Topic
1. Belle II experiment                                                 Artificial Intelligence
2. Blockchain technology                                       Digital/ Cryptocurrency
3. CRISPR-Cas9                                                          Particle Physics
Which of the pairs given above is/are correctly matched ?
(a) 1 and 3 only
(b) 2 only
(c) 2 and 3 only
(d) 1, 2 and 3",Reasoning/Logical Elimination Questions,Statement-based MCQs,Medium,Medium,Medium,Medium,Medium,"The question assesses reasoning ability in the context of current technological trends, focusing on the correct identification of topics related to emerging scientific concepts.",FALSE,Correct Matching of Terms with Contextual Usage,"Belle II experiment, Blockchain technology, CRISPR-Cas9, Digital/Cryptocurrency, Particle Physics, Gene Editing","NCERT Science textbooks, Current Science, Science Reporter",Analytical ability and factual recall in discerning accurate associations between scientific innovations and their relevant fields,TRUE,2018
"65. Which of the following statements best describes ""carbon fertilization""?
(a) Increased plant growth due to increased concentration of carbon dioxide in the atmosphere
(b) Increased temperature of Earth due to increased concentration of carbon dioxide in the atmosphere
(c) Increased acidity of oceans as a result of increased concentration of carbon dioxide in the atmosphere
(d) Adaptation of all living beings on Earth to the climate change brought about by the increased concentration of carbon dioxide in the atmosphere",Fact-Based Questions,Single Correct Option Questions,Easy,Easy,Easy,Easy,Easy,"The question assesses factual recall in the context of carbon fertilization, focusing on the correct definition of the term and its implications on plant growth due to rising carbon dioxide levels.",FALSE,Carbon Fertilization,"carbon fertilization, carbon dioxide, plant growth, climate change","NCERT Biology and Environmental Studies, IPCC Assessment Reports, Spectrum for Civil Services",factual recall,TRUE,2018
"66. When the alarm of your smartphone rings in the morning, you wake up and tap it to stop the alarm which causes your geyser to be switched on automatically. The smart mirror in your bathroom shows the day's weather and also indicates the level of water in your overhead tank. After you take some groceries from your refrigerator for making breakfast, it recognises the shortage of stock in it and places an order for the supply of fresh grocery items. When you step out of your house and lock the door, all lights, fans, geysers and AC machines get switched off automatically. On your way to office, your car warns you about traffic congestion ahead and suggests an alternative route, and if you are late for a meeting, it sends a message to your office accordingly.
In the context of emerging communication technologies, which one of the following terms best applies to the above scenario ?
(a) Border Gateway Protocol
(b) Internet of Things
(c) Internet Protocol
(d) Virtual Private Network",Fact-Based Questions,Single Correct Option Questions,Easy,Easy,Easy,Easy,Easy,"The question assesses factual recall in the context of emerging communication technologies, focusing on the identification of the correct term that describes interconnected smart devices and systems.",FALSE,Internet of Things,"automation, smart devices, IoT, communication technologies, integrated systems","NCERT Science Textbooks (Class XI & XII), India's Science and Technology Policy Documents",Factual recall and application of knowledge related to emerging technologies in everyday life.,TRUE,2018
"67. With reference to solar power production in India, consider the following statements :
1. India is the third largest in the world in
the manufacture of silicon wafers used
in photovoltaic units.
2. The solar power tariffs are determined
by the Solar Energy Corporation of
India.
Which of the statements given above is/are
correct?
(a) 1 only
(b) 2 only
(c) Both 1 and 2
(d) Neither 1 nor 2",Reasoning/Logical Elimination Questions,Statement-based MCQs,Medium,Medium,Easy,Easy,Medium,"The question assesses analytical ability in the context of solar power production in India, focusing on the accuracy of statements regarding India's position in the silicon wafer manufacturing and the determination of solar power tariffs.",FALSE,Current Affairs and Factual Recall in Solar Energy Production,"solar power, photovoltaic, silicon wafers, manufacturing capacity, tariff determination, Solar Energy Corporation of India","NCERT Science textbooks (particularly for energy and environment), Current government reports and publications from MNRE",Factual recall and analytical ability regarding current developments in the solar energy sector in India,TRUE,2018
"68. The staple commodities of export by the
English East India Company from Bengal in
the middle of the 18th century were
(a) Raw cotton, oil-seeds and opium
(b) Sugar, salt, zinc and lead
(c) Copper, silver, gold, spices and tea
(d) Cotton, silk, saltpetre and opium",Fact-Based Questions,Single Correct Option Questions,Easy,Easy,Easy,Easy,Easy,"The question assesses factual recall in the context of economic history of British India, focusing on the key commodities exported by the East India Company from Bengal in the 18th century.",FALSE,Economic policies and trade of the British East India Company,"English East India Company, Bengal, export commodities, 18th century, cotton, silk, saltpetre, opium","India's Struggle for Independence by Bipan Chandra, Modern India by Bipin Chandra",factual recall,TRUE,2018
"69. Which one of the following is a very
significant aspect of the Champaran
Satyagraha?
(a) Active all-India participation of lawyers,
students and women in the National
Movement
(b) Active involvement of Dalit and Tribal
communities of India in the National
Movement
(c) Joining of peasant unrest to India's
National Movement
(d) Drastic decrease in the cultivation of
plantation crops and commercial crops",Fact-Based Questions,Single Correct Option Questions,Easy,Easy,Easy,Easy,Easy,"The question assesses factual recall in the context of the Champaran Satyagraha, focusing on its significant aspect linking peasant unrest to India's National Movement.",FALSE,Peasant Movements and Early National Movements,"Champaran Satyagraha, peasant movement, Mahatma Gandhi, independence movement, Indian National Movement","India's Struggle for Independence by Bipin Chandra, Modern India by Spectrum, A Brief History of Modern India by Rajiv Ahir",factual recall and application of historical significance,TRUE,2018
"70. Who among the following were the founders of
the ""Hind Mazdoor Sabha"" established in
1948?
(a) B. Krishna Pillai, E.M.S.
Namboodiripad and K.C. George
(b) Jayaprakash Narayan, Deen Dayal
Upadhyay and M.N. Roy
(c) C.P. Ramaswamy Iyer, K. Kamaraj and
Veeresalingam Pantulu
(d) Ashok Mehta, T.S. Ramanujam and
G.G. Mehta",Fact-Based Questions,Single Correct Option Questions,Easy,Easy,Easy,Easy,Easy,"The question assesses factual recall in the context of the Indian labor movement, focusing on the founding figures of the Hind Mazdoor Sabha.",,Labor Movement and Trade Unions,"Hind Mazdoor Sabha, Indian labor movement, founders, trade union","Modern India by Bipin Chandra, India's Struggle for Independence by Bipin Chandra",factual recall,TRUE,2018
"71. With reference to the religious practices in
India, the ""Sthanakvasi"" sect belongs to
(a) Buddhism
(b) Jainism
(c) Vaishnavism
(d) Shaivism",Fact-Based Questions,Single Correct Option Questions,Easy,Easy,Easy,Easy,Easy,"The question assesses factual recall in the context of religious practices in India, focusing on the sect's affiliation.",FALSE,Jainism and Sectarian Movements,"Sthanakvasi, Jainism, Religious Sects, Indian Religions","India's Ancient Past by R.S. Sharma, A History of Ancient and Early Medieval India by Upinder Singh, Medieval India: From Sultanat to the Mughals-Delhi Sultanat (1206-1526) by Satish Chandra",factual recall,TRUE,2018
"72. With reference to the cultural history of India,
consider the following statements:
1. White marble was used in making
Buland Darwaza and Khankah at
Fatehpur Sikri.
2. Red sandstone and marble were used in
making Bara Imambara and Rumi
Darwaza at Lucknow.
Which of the statements given above is/are
correct?
(a) 1 only
(b) 2 only
(c) Both 1 and 2
(d) Neither 1 nor 2",Fact-Based Questions,Statement-based MCQs,Medium,Easy,Easy,Easy,Easy,"The question assesses factual recall in the context of Indian cultural history, focusing on architectural materials used in historical monuments.",FALSE,Materials and Structural Composition of Historical Monuments,"Buland Darwaza, Fatehpur Sikri, Khankah, Bara Imambara, Rumi Darwaza, white marble, red sandstone, Mughal architecture","India’s Struggle for Independence by Bipan Chandra (for historical context), A History of India by Romila Thapar, Society and Culture in Early Medieval India",factual recall and application of knowledge regarding the materials used in the construction of historical monuments,TRUE,2018
"73. Which one of the following foreign travellers elaborately discussed about diamonds and diamond mines of India?
(a) Francois Bernier
(b) Jean-Baptiste Tavernier
(c) Jean de Thevenot
(d) Abbe Barthelemy Carre",Fact-Based Questions,Single Correct Option Questions,Easy,Easy,Easy,Easy,Easy,"The question assesses factual recall in the context of foreign travelers' accounts, focusing on the discussion of diamonds and diamond mines in India.",FALSE,Economic history and trade in India,"diamonds, diamond mines, foreign travellers, Jean-Baptiste Tavernier","Medieval India: From Sultanat to the Mughals by Satish Chandra, Ancient India by R.S. Sharma",factual recall,TRUE,2018
"74. With reference to Indian history, who among the following is a future Buddha, yet to come to save the world?
(a) Avalokiteshvara
(b) Lokesvara
(c) Maitreya
(d) Padmapani",Fact-Based Questions,Single Correct Option Questions,Easy,Easy,Easy,Easy,Easy,"The question assesses factual recall in the context of Indian history, focusing on the identity of a future Buddha who is prophesied to arrive and save the world.",FALSE,"Buddhism, Iconography and Religious Figures","Future Buddha, Maitreya, Avalokiteshvara, Lokesvara, Padmapani","Buddhist India by various authors, India's Religious Culture by R. Balasubramanian",Factual recall with emphasis on identification of religious figures in Buddhist lore,TRUE,2018
"75. Which one of the following statements does not apply to the system of Subsidiary Alliance introduced by Lord Wellesley?
(a) To maintain a large standing army at other's expense
(b) To keep India safe from Napoleonic danger
(c) To secure a fixed income for the Company
(d) To establish British paramountcy over the Indian States",Reasoning/Logical Elimination Questions,Single Correct Option Questions,Medium,Medium,Easy,Easy,Medium,"The question assesses analytical ability in the context of the historical development of British colonial policies in India, focusing on the implications and objectives of the Subsidiary Alliance system introduced by Lord Wellesley.",FALSE,Colonial Policies and Military Strategies,"Subsidiary Alliance, Lord Wellesley, British paramountcy, standing army, fixed income, Indian States, Napoleonic danger","Modern India by Bipin Chandra, India’s Struggle for Independence by Bipan Chandra",factual recall,TRUE,2018
"76. Which of the following led to the introduction of English Education in India?
1. Charter Act of 1813
2. General Committee of Public Instruction, 1823
3. Orientalist and Anglicist Controversy
Select the correct answer using the code given below:
(a) 1 and 2 only
(b) 2 only
(c) 1 and 3 only
(d) 1, 2 and 3",Fact-Based Questions,Single Correct Option Questions,Easy,Easy,Easy,Easy,Easy,"The question assesses factual recall in the context of English Education in India, focusing on legislative measures and educational debates leading to its introduction.",FALSE,Introduction of English Education in India,"Charter Act of 1813, General Committee of Public Instruction, 1823, Orientalist and Anglicist Controversy, English Education","Modern India by Bipin Chandra, India's Struggle for Independence by Bipan Chandra",The question assesses factual recall and conceptual understanding regarding the historical events and debates that led to the introduction of English education in India.,TRUE,2018
"77. Which one of the following is an artificial lake?
(a) Kodaikanal (Tamil Nadu)
(b) Kolleru (Andhra Pradesh)
(c) Nainital (Uttarakhand)
(d) Renuka (Himachal Pradesh)",Fact-Based Questions,Single Correct Option Questions,Easy,Easy,Easy,Easy,Easy,"The question assesses factual recall in the context of Indian geography, focusing on identifying an artificial lake among listed options.",FALSE,Artificial vs. Natural Lakes,"Artificial lake, Kodaikanal Lake, Natural lake, Geographical features, Man-made reservoir","Certificate Physical and Human Geography by G.C. Leong, Oxford School Atlas, Modern World Geography",factual recall,TRUE,2018
"78. With reference to Pradhan Mantri Kaushal Vikas Yojana, consider the following statements:
1. It is the flagship scheme of the Ministry of Labour and Employment.
2. It, among other things, will also impart training in soft skills, entrepreneurship, financial and digital literacy.
3. It aims to align the competencies of the unregulated workforce of the country to the National Skill Qualification Framework.
Which of the statements given above is/are correct?
(a) 1 and 3 only
(b) 2 only
(c) 2 and 3 only
(d) 1, 2 and 3",Fact-Based Questions,Statement-based MCQs,Easy,Easy,Easy,Easy,Easy,"The question assesses factual recall in the context of Pradhan Mantri Kaushal Vikas Yojana, focusing on the accuracy of statements about the scheme's objectives and features.",FALSE,Pradhan Mantri Kaushal Vikas Yojana (PMKVY),"Pradhan Mantri Kaushal Vikas Yojana, Ministry of Labour and Employment, soft skills, entrepreneurship, financial literacy, digital literacy, National Skill Qualification Framework, unregulated workforce","Indian Polity by M. Laxmikanth, Governance in India, Social Problems in India",factual recall and application of knowledge regarding government skill development initiatives,TRUE,2018
"79. In 1920, which of the following changed its name to ""Swarajya Sabha""?
(a) All India Home Rule League
(b) Hindu Mahasabha
(c) South Indian Liberal Federation
(d) The Servants of India Society",Fact-Based Questions,Single Correct Option Questions,Easy,Easy,Easy,Easy,Easy,"The question assesses factual recall in the context of Indian independence movements, focusing on the renaming of organizations during the early 20th century.",FALSE,Evolution and Transformation of Political Organizations in Colonial India,"Swarajya Sabha, All India Home Rule League, Hindu Mahasabha, South Indian Liberal Federation, Servants of India Society, name change, 1920","India's Struggle for Independence by Bipan Chandra, Modern India by Bipin Chandra, A History of Modern India",Factual recall,TRUE,2018
